Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
laurahfritz,laura & lena,2.7M,1.3M,254.1K,1.1K,1.9K
jdiasss_,João Dias,7.8M,1.3M,265.4K,1.8K,1.2K
greatekyroga,u can call me sasha,1.1M,1.1M,320.3K,1.9K,1K
jomaryee,Jomar Yee,9M,2.3M,226.7K,1.3K,626
kikakiim,Kika Kim,31.7M,1.9M,220K,1.7K,646
pepperonimuffin,Kirsten Titus,7.9M,2.2M,433.5K,809,225
shayvise,Shayvise,3.6M,2.1M,412.8K,774,361
thejoeyswoll,Joey Swoll,5.3M,1.7M,240.8K,2.2K,322
kieuduylong16,Kiều Duy Long 🦖,2.4M,2.5M,243.9K,1.4K,220
sajads111,سجاد سلمان,1.5M,2M,71.2K,1.1K,6K
bobbialthoff,Bobbi,3.5M,2.9M,207.4K,477,1.1K
josefineholum,Josefine👩🏽‍⚕️,1.1M,1.5M,221.3K,1.4K,1.5K
lyodrabeneran,Lyodra Ginting,1.6M,2.2M,172.5K,1.4K,1.1K
armando_netto,Armando Netto,4.8M,2.1M,226.1K,1.9K,225
rachaeloneil,Rachael O'Neil,1M,2M,144K,1.6K,1.8K
andremastijan,andre,786.7K,1.2M,111.5K,876,6.2K
pamibabyy,pami ♡,7.2M,1.7M,288.9K,679,1.3K
xawado,اوادو / awado  🦎,1.2M,1.7M,137.5K,1.9K,2.3K
annafontanela,Anna Fontanela,3.9M,2.1M,313.4K,1.2K,292
aragonclyrics,@aragonclyrics,1.4M,1.3M,94.4K,96,7.7K
jadepicon,JADE PICON 🌪,8.8M,2M,311.1K,967,567
simpforatispaul,Mikaela Testa,2.7M,2.1M,355.1K,853,423
legendasmania,Legendas Mania,767.9K,1.1M,135.1K,231,6.2K
philiptanasas,philiptanasas,9.3M,2.2M,252.9K,1.1K,610
zainah.mb,Zainah & Minnie,1.2M,1M,208.1K,1.1K,3.2K
ffrangomez,Fran Gómez,1.5M,1.4M,253.4K,349,2.3K
sibenitoo,SiBenitoo,5.6M,2.5M,185.7K,1.5K,598
benazelart,Ben Azelart,15.7M,2.6M,221.6K,1.2K,452
lgndfrvr,LGNDFRVR,17M,1.6M,200.5K,1.1K,1.8K
worldofxtra,Stan Fukase,806.2K,943.6K,290.6K,1.4K,2K
so.077,سوم,419.5K,1.8M,119.1K,2.7K,1.8K
ehgml._.16,김도찌,400.7K,1.4M,273.5K,1.2K,1.3K
kelvinsabinoof,KelvinSabino🌵,1.5M,1M,156.8K,2.7K,3.2K
bradley.thor,Thoren Bradley,5.7M,1.3M,142.4K,1.8K,3.2K
anxietycouple,Anxiety couple,12.2M,2.4M,271K,893,526
alostrich,Matt Mitchell,1M,1.1M,134.3K,1K,5.1K
goharsguide,Gohar Khan,2.1M,2M,306K,724,779
viliacarl,Vilia Carl,4.1M,2.8M,243.1K,881,470
riaricis,Ria Ricis,28.6M,2.3M,242.7K,764,878
k0uvr,Kouvr,13.6M,2.7M,422.5K,562,240
jorgitoparrillero,Jorgito Parrillero,1.4M,1.5M,99.5K,333,6K
mell_editz0,鬼 • 𝐆 𝐎 𝐉 𝐎,480.5K,1.5M,229.9K,1.5K,1.1K
homemdehonra,Homem De Honra,79.3K,944.3K,37.7K,710,25K
claragnds,Maria Clara Garcia,18.6M,1.9M,191.8K,1.8K,648
jakepaul,Jake Paul,16.7M,1.5M,156.4K,2.3K,1.6K
albert_cancook,albert_cancook,8.1M,2.4M,265.2K,829,624
soapinmymouthoncemore,tedwards,5.1K,943.3K,189.6K,1.9K,3.1K
cirowhites1.0,CiroWhites,2.3M,1.7M,301.7K,908,895
theshabakitchen,The Shaba Kitchen,2.1M,1.3M,114.1K,1.8K,4.3K
rubiaramallho,Rubia Ramallho,2.7M,2.1M,156.4K,613,2.1K
bessan_esmail,بيسان اسماعيل - Bessan Ismail,11.3M,2.1M,160.5K,1.4K,1.3K
ypk.raye,ypk.raye,4M,1.8M,332.5K,890,642
edlyninbatangas,Boss Edlyn,925K,2.3M,175K,558,1.7K
armandogreiser,Armando Greiser,52.4K,621.4K,112.5K,1.3K,11.4K
internet.elise,elise,522.9K,926.9K,206.5K,597,4K
ikercasillas,Iker Casillas,2.7M,1.6M,191.8K,2.1K,783
rizwanfadilah.a.s,Njan 🙈,1.6M,1M,205.2K,2.2K,2.1K
coleandersonj,Cole Anderson James,1.8M,1.4M,262.1K,1.1K,1.2K
moneybagyo85,YouTube king von 1,55.1K,4.4M,216.1K,680,244
luisonfelix2,Luis Felix,395.4K,2.3M,99.5K,1.1K,2.8K
davidgetial,deivis,14.8M,1.9M,322.5K,1.1K,291
jezzzini,JEZZINI,2.5M,856.4K,239K,1.1K,3.2K
sherinicolee,sheri,14.3M,2.8M,263.2K,1.1K,103
fujiiian,Fuji,16.3M,2.2M,221.6K,1.1K,681
anardreams,ANAR DREAMS 💎💰,15.9M,3M,131.1K,1.9K,376
1_alkaisr_1,🔱🌹القيصر🌹🔱,12.1M,1.9M,182.1K,690,1.8K
joslum,José L,13.4M,2.3M,364.9K,779,252
erabii,Mohanaderabii,1.4M,2.1M,132.8K,1.4K,1.7K
ycn.benz,👑𝖄𝕬𝕮𝕴𝕹𝕰👑,132.1K,1.3M,44K,849,14.8K
conradovillagra,ᴄᴏɴʀᴀ,10.9M,3.2M,260.4K,864,167
haniaheheofficiall,Hania Aamir,1.3M,2M,190.9K,1.8K,432
julesleblanc,jules,18.8M,2.2M,322.5K,952,270
real_animasinopal,Animasinopal,1.8M,2.9M,277.7K,451,619
vivinovikaa,Vivi🧸,999.1K,1.6M,197.9K,1.7K,945
erikatitus,Erika,3.3M,1.6M,329.7K,1.1K,525
_amanndaraujo,Amanda Araújo,4.3M,3.5M,172.6K,997,400
tuankiet.2000,Kiệt Hà Tịnh,4.6M,2.9M,216.5K,1.1K,268
madelineargy,madz,2.3M,1.5M,337.7K,1.1K,581
melon.228,Melon nè !,1.9M,2.4M,185.6K,1K,868
joelsvnny,Joel Sunny,1.4M,1.1M,208.3K,2.3K,1.3K
theandrewschulz,Andrew Schulz,4.1M,1.4M,192.9K,613,2.6K
littlebubbychild,Little Bubby Child,356.2K,853.5K,65.5K,1.5K,13.4K
jeonifty,🐰,250K,800.4K,235.7K,1.2K,3.2K
annaxsitar,anna x,12M,2.6M,372.8K,417,442
agustinlocutor,agustinlocutor,1.8M,1.6M,100K,986,4.2K
meosimmyyt,Mèo Simmy,4.6M,1.1M,137.1K,4.7K,626
bryceheemjames,Bryce😈,834.6K,1.4M,237.6K,1.8K,688
c4tluvr666,Kennedy Walsh,2.6M,1.6M,312.6K,934,765
losariasbrothers,Los Arias,1.6M,1.6M,241.4K,476,1.6K
stainedhands,Devyn,1.6M,1.6M,335.3K,359,1.2K
romanlolo,Roman,2.6M,1.9M,170.4K,2K,579
slayeas,Léa Martinez,3.9M,1.8M,239.7K,837,1.1K
mo_vlogs,movlogs,3.3M,4.9M,189.6K,577,300
volvydooya,柊Volvy,1.3M,1.1M,233.1K,1.2K,2K
simoneberlini,SIMONE BERLINI,6.1M,1.6M,259.8K,868,1.1K
aileenchristineee,Aileenchristineee,5.8M,1.4M,224.1K,681,1.9K
funny_v.i.p,funny_v.i.p,9.5M,1.6M,196.5K,476,2.1K
barbaracoura,Bárbara Coura,9.5M,1.4M,295.7K,1K,922
nada_m7amed,دودا🦹🏻🤍,6.4M,1.8M,190.8K,812,1.5K
yesimresmi1,~YEŞİM,17.1M,3.5M,122.5K,1.1K,765
hjevelyn,Evelyn Ha,2.8M,1.1M,245.9K,2.4K,661
wubzzy69,William,1.5M,911.9K,194.8K,1.7K,2.7K
onlyjayus,actuallyitsbella,18.2M,1.6M,237.4K,1.6K,503
nyx.lynnx,Nyx,202.6K,1.6M,155.5K,1.8K,1.4K
dhddecor,Design House Decor,76.5K,1.1M,141.1K,574,4.4K
shoelover99,ophelia 🦋,8.9M,1M,169.2K,4.2K,481
alzoubinadia,Nadia Al-zou'bi,5.5M,1.5M,75.9K,738,6.2K
emilwarren1,Emil Warren,851.5K,1.2M,211.3K,2.6K,617
clmnsbrock,CLMNS BROCK,1.6M,1.4M,152.8K,532,3.3K
alxjames,Alx James,2.2M,896.7K,152.8K,899,4.8K
tanamongeaulol,Tana Mongeau,7.4M,2.1M,234.5K,1.2K,412
cassholland,Cass Holland,1.9M,1.9M,287.7K,856,571
arfaytb,ARFAYTB,372.7K,894.1K,108.7K,456,7.6K
britneyspears,Britney Spears,7.1M,1.3M,107.8K,3.5K,2.3K
h2balla,Hunter & Frank,3.2M,2M,234.2K,1.4K,274
elalfaeljeferd,ELALFAELJEFERD,1.3M,1.9M,198.6K,639,1.4K
adamsheey,Adam Shi,5.3M,1.2M,235.9K,845,1.9K
maxthemeatguy,Max The Meat Guy,4.9M,2.1M,273.1K,622,720
iamauroramusic,AURORA,4M,1.6M,216.2K,1.6K,659
haritsuuu,ハリツ🌿極,1.9M,1.8M,92.7K,2.3K,2.5K
vidhia_r,🐇Vidhi_R🐇,7.2M,1.1M,151.5K,2.9K,1.7K
t_400,جوقي💚,3.8M,1.5M,219.3K,1.3K,982
gabrielabee,GABI BEE,10M,1.2M,239.1K,2.2K,432
fyp,jack neel,8.6M,1.3M,245.4K,1.9K,535
dangthuhaf,Đặng Thu Hà,980.5K,2.5M,300.4K,672,341
miguelito_peru,Miguel Alessandro,1.7M,1.8M,113.9K,1K,2.8K
mesitaaa,Mesita,329.9K,1.6M,326.8K,611,886
munir.107,Munir | 107 Deportes,752.5K,1.2M,88.4K,371,6.7K
plethoraklaus,grace☕︎︎,68.2K,730.3K,179.2K,3.9K,1.9K
alexandramadison_,Alex and Jon,1.3M,971.2K,135K,552,5.2K
playboyjuju,Playboyjuju,358.3K,1.7M,120.1K,2.4K,1.3K
beamngshorts,Beamng Shorts,2.8M,2.9M,158.9K,1K,630
susymourizz,Susy Mouriz🌷,8.4M,1.8M,212.2K,1.5K,470
themerkins,THE MERKINS,631.9K,600.1K,150.9K,1.4K,6.8K
carloandsarah,carloandsarah,4M,2.1M,219.6K,695,924
paupelaez_,ʜᴀɴᴇᴍɪʏᴀ,6.6M,1.2M,257.6K,2.1K,336
okichloeo,chloeo,3.7M,1.4M,188.2K,1.9K,962
mrs.wahlberg,Jenny McCarthy,1.9M,1.2M,147.8K,3.2K,986
apinyabunying,Apinya Bunying,215.6K,1.5M,204.1K,1.2K,1.3K
imanthonyvargas,Anthony Vargas,6.6M,1.8M,292.1K,1.2K,247
creatingwonders,Jesse J. Pedigo,11.6M,752.9K,96.3K,1.4K,8.8K
nalgalia.g,nati👽,13.9M,1.6M,182.6K,449,2.2K
zeinazeee,Zeina Zee,3.8M,2.2M,185.6K,820,990
notmarkharris,Mark,56.7K,754.3K,192.5K,1.7K,3.3K
boywithuke,boywithuke,5.8M,1.6M,242.3K,1.6K,306
lilyxgarcia,Lily Garcia,12.3M,1.7M,248.5K,972,760
rose.friederike,ROSE,3.9M,3.1M,123.9K,974,930
kaylamalecc,kayla,8.3M,1.7M,277.3K,1.4K,128
theonlycb3,Charles Brockman III,6M,1M,235.1K,2.1K,1K
carloscastroes,Carlos Castro,12.5M,1.6M,166.5K,285,2.5K
hf37777,نجم الثرياء⭐H,455.3K,1.1M,17.6K,5.8K,31.9K
jfkexplainsjokes,JFK 💀,34.1K,888.8K,181.6K,3.4K,1.1K
johnmicheal1996,Ricky & The Boss,4.3M,930.6K,109.5K,784,6.3K
celinaspookyboo,Celina Myers,26M,1.6M,246.7K,1.2K,625
yg_treasure_tiktok,yg_treasure_official,4.4M,830.5K,216.9K,2.2K,1.8K
0808sakura,🌸桜🌸,1.6M,1.2M,144.7K,2.7K,1.5K
danethegreatt,Dane Lindfors,2.5M,1.3M,109.6K,896,4.3K
thedonato,thedonato,8.1M,1.3M,152.8K,3.5K,92
afrae.es,Afraa,6.6M,2.7M,185.7K,594,860
rifirdus,RIFIRDUS,2.1M,2.1M,158.9K,845,1.3K
lilmabuu,Lil Mabu,958.1K,2M,206.9K,1.2K,504
nadaahmed__1,ام خدود  فراولة😌🍓,907.4K,2.2M,150.1K,907,1.2K
maxtaylorlifts,Max Taylor,8.9M,1.3M,231.2K,1.2K,1.2K
daddyyankee,daddyyankee,12.1M,1.2M,197.8K,1.8K,1.2K
imchef7,Heinz Wuth - Ciencia y Cocina,1.3M,1.3M,189.3K,530,2.5K
acdc,AC/DC,394.2K,1.1M,182.2K,879,2.6K
subarumotorsportsusa,Subaru Motorsports USA,199.9K,1M,161.9K,840,3.4K
in_the_nic_of_time,Nic Suarez,6.3M,2.4M,263.5K,752,362
its.michhh,Michel Chavez,31.7M,1.9M,260.4K,1.2K,218
alwanr__,AlwanRK,6.9M,2.5M,237K,630,558
hieubuiba,Bùi Bá Hiếu,2.3M,2.8M,260.6K,796,185
atom221220,💦ATOM🐦,2.8M,1.3M,241.8K,1.4K,821
cedriklorenzen,Cedrik Lorenzen,2.9M,1.1M,115.3K,2.3K,3.2K
aureliehermansyahatta,Aurelie Hermansyah,8.7M,2.1M,187.4K,989,779
abopermak,abopermak,73K,2.3M,69.7K,2.6K,1.7K
therealdrmiami,Dr. Miami,1.8M,1.3M,270.6K,681,1.3K
47bato,Batu FuRkan,20.6K,1.3M,172.5K,1.1K,2.1K
priimoraa,Prii Moraa,16.1M,2M,345.5K,293,726
dylanhoogerwerf,dylan hoogerwerf,2.2M,2.3M,271.4K,779,318
reesewitherspoon,Reese Witherspoon,8.5M,1.5M,147.9K,2.3K,878
olisboa,LISBOA,3.3M,1.6M,262.9K,601,1.1K
altarvision,Rowan,167K,1.1M,268.1K,1.1K,1.2K
jakehunterofficial,Jake hunter,3.6M,2M,127.8K,2.4K,353
huddy,Huddy,32.2M,2M,147.9K,1.8K,529
ikerlafuente,Iker Lafuente 🫧,153.5K,1M,162.5K,2.9K,1.1K
niallmacmillan,Niall MacMillan,5M,1.5M,123.2K,973,2.7K
nhabebap,🌽 NHÃ BÉ BẮP 🌽,2.3M,2.5M,267.8K,689,319
elecherlee,Elecher Lee,135.9K,1.5M,138.3K,2.7K,632
summerhays.bros,The Summerhays Bros,793.1K,1.3M,188.3K,539,2.2K
amxnahali,Aminah,63.2K,1M,178.2K,2.3K,1.4K
dudeperfect,Dude Perfect,16.7M,2.3M,327.4K,469,416
j0a0zinh0,joãozinho,6.4M,1.1M,203.9K,1.1K,1.9K
tonystatovci,TONY STATOVCI,2.4M,991.7K,224.5K,889,2.1K
sanjosejules,Julie Anne San Jose,2M,2.3M,274.5K,566,486
zanfilms,Zan Films,1.9M,2.7M,98.7K,1.2K,1.3K
melch.cooks,melch.cooks,121.6K,1.6M,156.4K,2K,729
sweizayne,Iana McCalebb,1.7M,907.7K,164.4K,1.9K,2.5K
taetoowavy,taetoowavy,8M,873K,171.3K,1.9K,2.4K
a.l.capone,💉طبيب القلب💔,75.9K,863K,34.5K,629,21.3K
chris,Chris Olsen,8.1M,1.8M,368K,559,424
lance210,Lance Stewart,22.3M,2.3M,218.4K,535,784
mozamir,Amir,2.1M,1.4M,175.9K,1.8K,869
abdullah_eltourky,Eltourky 👑,7.3M,1.8M,200.5K,824,968
fionntime,FionnTime,2.6M,910.2K,210.3K,1.4K,2K
ngoc.matcha,Ngọc Matcha 💚,4.1M,1.1M,150K,3.3K,617
posterised,Posterised,5.5M,1.5M,199.7K,715,1.4K
texassbitty,Texassbitty,142K,1.1M,126.1K,918,3.7K
ethankleinh3,Ethan Klein,1.9M,970.5K,136.6K,3K,1.9K
emrata,Emrata,1.6M,2M,186.8K,965,752
mahmooud_shaar,ابو عرب 🛑🎬,1.5M,3M,100.2K,941,1.2K
anyaischuk,Anya Ischuk,11.8M,1.9M,219.3K,877,692
.02h.88m,CALL ME LUCAS,1.2M,917.8K,172.6K,1.6K,2.4K
thiennhan5272,Thiện Nhân,4.1M,2.9M,216.8K,712,295
elchaparrito951,el chuacheneguer,6.1M,1.3M,49.5K,525,9.3K
angryreactions,Oneya D’Amelio,26.6M,1.5M,257.1K,1.3K,376
thereallifeguys,The Real Life Guys,474K,2.3M,216.1K,639,626
aspenackley,Sabrina & Andrew,2.2M,1.3M,192.1K,598,1.9K
gutierrezcastro,Gutierrez Castro,14.2M,1.1M,147.9K,894,3K
joelbergs,JoelBergs,11.4M,1.9M,317.5K,511,528
ragnarlebretonofficiel,Ragnar Le Breton officiel,383.4K,1.5M,135.4K,400,2.7K
cowboyjess,cowboyjess,320K,1.6M,315.9K,719,509
busheadoph,Busheado,14.3M,3.2M,209.9K,709,215
ryansunandar,Ujang SGN💰,4.8M,873.2K,85.7K,5.4K,2.9K
nathaliavalente,Nathalia,13.6M,2.3M,242.9K,731,375
mohaimen.alaa,مهيمن علاء,4.1M,1.2M,171.2K,1.9K,1.2K
itsmenicksmithy2,Nick Smithyman 😎,12.6M,1.7M,208.6K,982,806
noeldeyzel_bodybuilder,Noel Deyzel🇿🇦,5.3M,1.4M,228.2K,1K,885
_liltam,tamz,497.3K,2.2M,281.6K,370,623
mak.beh,BEH,861K,2.6M,233.2K,676,336
rajaabelmir,Belmir Rajaa,1.1M,1.4M,133.8K,1.1K,2.3K
ditanganu,DitaKerang🌊,7.7M,2.4M,211.4K,846,363
kinosgina,KINOSGINA,1.7M,1.6M,87.5K,2.8K,1.8K
texasbushman,Texas BUSHMAN,2.1M,1.2M,197K,611,2K
notorious_foodie,Notorious Foodie,1.5M,1.7M,177.7K,528,1.5K
10july__,𝑺𝒂𝒅𝒔𝒂𝒔𝒔𝒔 ❤️‍🔥,1.1M,1M,123.1K,672,4.3K
lamminhduc2404,🦋AĐ🦋,130.2K,2.3M,88.6K,2.3K,686
papavince.davao,PapaVinceDavao,599.9K,899.6K,116.1K,2.8K,3K
namyulenka,Namy,6.9M,1.5M,229.9K,1.2K,654
bankrolldyl,BankrollDyl💸,5M,1.1M,226.9K,1.2K,1.2K
interesting.thingsz,News For You 🌍,4.1M,2.4M,186K,991,357
psg,psg,30.1M,1.7M,177.6K,1.4K,576
elo_os,Eloisa Os,2.4M,1.6M,276.9K,716,637
zenitfc,FC Zenit,4M,1.9M,221.5K,1K,378
lauralove5514,LauraLove,7.6M,1.5M,230.2K,1.1K,705
rbplaying,RB playing,4.9M,1.4M,100.2K,675,3.6K
manutd,Manchester United,17.1M,1.6M,188.7K,1.5K,519
amika0429.14,あみか🦄✨@フォーエイト,1.2M,1.3M,96.8K,3.2K,1.5K
chikn.nuggit,Chikn Nuggit,4.7M,948.5K,146.9K,3.2K,1.1K
aidanmrz,Aidan Mirza,1.1M,2.5M,157.8K,991,512
shehabeldin100,Shehabeldin,6.9M,1.4M,141K,1.6K,1.4K
mrchiquitolina,Nicolino,269.2K,805.2K,163.6K,487,4K
nacha_acashore,Michelson,1.2M,2.2M,231.3K,434,743
melanypalacioss,Melany🥀,5.2M,1.6M,352.5K,909,137
fortcraft354,Fortcraft354,189.2K,1.4M,156.8K,2.6K,70
davidspade,DavidSpade,4.5M,1.1M,158.6K,1.5K,1.8K
monika.kociolek,Monika Kociołek,2.8M,1.1M,170.4K,2.5K,614
yayisrenteria,Yayis Renteria,339.9K,1.9M,133.6K,382,1.9K
fabirommel,Fabi Rommel,409.7K,1M,105.8K,573,4.9K
juanito_pochi,JUANITO🔥🚶,827.2K,2.1M,191.3K,671,781
brandonspam_,Brandon Conner,8.5M,1.5M,236.5K,1.4K,220
macy.blackwell,macy.blackwell,1.2M,1.1M,104.4K,382,4.7K
calebrownn,Cale Brown,5.5M,834.6K,148.2K,1.9K,2.8K
brendadialoy,Brenda Dialoy,371.9K,1.2M,187.5K,626,2K
jujufitcats,Juju Fitcats,4.3M,2.2M,280.8K,380,558
xoteam,XO Team,37.8M,2.5M,180.2K,859,450
jass_mcg,jass_mcg,52.2K,503.8K,116K,8.1K,1.8K
